100,255
98,1389
95,2232
95,2558
94,1964
93,4971
92,1588
90,4375
88,6626
87,8917
87,5517
87,3958
86,2704
85,1712
84,3672
84,4345
83,4001
82,0888
82,4458
82,6425
81,8667
80,9366
80,3418
79,495
80,0614
79,4899
79,2633
79,1398
78,965
77,7557
77,35
76,9238
77,3361
76,8559
76,7535
76,2873
75,7928
75,1611
74,7362
74,458
73,9233
73,2375
72,6532
72,1118
71,6153
71,1343
71,2383
71,3072
71,0752
70,8323
70,4505
70,3061
70,0249
69,8001
69,6353
69,5049
69,2967
68,9682
67,9774
67,5587
67,1543
68,0084
67,8995
67,8095
67,2751
67,1332
67,5365
67,5409
67,3602
67,3156
67,2435
67,1817
66,5672
66,3744
66,3196
66,0118
65,7759
65,5792
65,6843
64,9581
65,0787
64,8971
65,1206
64,94
64,8321
64,697
64,1531
63,8694
63,5061
62,8471
62,5562
61,9747
61,3774
60,9329
61,3867
62,0108
62,0274
61,9471
61,9943
62,0515
61,8399
61,7842
61,5011
61,5875
61,4939
61,431
61,3572
61,319
61,5052
61,2422
61,0573
61,2907
61,2851
61,058
60,8369
60,7307
60,4249
60,0586
59,9026
59,8916
59,9021
59,8103
60,002
60,2162
60,2353
60,1075
60,0703
59,8948
59,8786
59,8304
60,0056
59,9832
59,9882
59,901
59,9142
59,959
59,9716
59,9283
59,9625
60,0292
59,5566
59,4428
59,1777
59,0232
58,7789
59,2245
59,2617
58,884
58,3929
58,1324
57,9299
57,9004
57,7397
57,9939
57,7821
57,7507
57,3401
57,1768
56,8949
56,8992
56,7123
56,7392
56,9287
56,982
56,9492
56,8187
56,7037
56,5301
56,382
56,4739
56,4695
56,3878
56,2902
56,4212
56,4382
56,5148
56,5034
56,5482
56,4699
56,4073
56,4019
56,4142
56,4851
56,5158
56,4743
56,323
56,3093
56,3404
56,364
56,3126
56,2365
56,215
56,241
56,4182
56,4534
56,4938
56,3945
56,3576
56,2926
56,3392
56,4244
56,4604
56,4559
56,3812
56,4091
56,3866
56,3812
56,3163
56,3838
56,3942
56,3365
56,2208
56,181
56,2073
56,2167
56,1503
56,1095
56,0815
56,1668
56,1512
56,166
56,1021
56,133
56,1938
56,1516
56,1626
56,0982
56,1481
56,1004
56,0892
56,0351
56,016
56,054
56,054
56,054
56,056
56,0545
56,0546
56,0482
56,0448
56,0426
56,0508
56,0045
55,9394
55,9101
55,9302
56,042
56,0252
56,0356
55,9647
55,9886
55,9886
55,9292
55,9117
55,9352
55,9887
55,9452
55,9396
55,875
55,8672
55,9506
55,9128
55,9123
55,8488
55,8939
55,9538
55,9784
55,9952
55,9512
55,9512
55,9512
55,9512
55,8901
55,84
55,8172
55,8797
55,8805
55,8762
55,8753
55,8745
55,8763
55,8539
55,8863
55,9582
55,9354
55,945
55,8813
55,9154
55,9171
55,8553
55,7658
55,8041
55,8468
55,8529
55,8264
55,8264
55,8264
55,8264
55,8264
55,8264
55,8264
55,8283
55,8292
55,8302
55,7645
55,7456
55,7579
55,7515
55,7481
55,7591
55,7591
55,7563
55,7555
55,7548
55,7567
55,7567
55,7567
55,7567
55,7567
55,7549
55,755
55,755
55,755
55,755
55,7721
55,7769
55,7357
55,7312
55,7869
55,8303
55,8509
55,8021
55,7985
55,8523
55,8719
55,8635
55,889
55,9228
55,9433
55,8885
55,8893
55,9253
55,8828
55,8783
55,8349
55,8204
55,8061
55,7921
55,7783
55,7647
55,7514
55,7382
55,7299
55,7579
55,7594
55,7557
55,7557
55,769
55,8358
55,8136
55,8169
55,7587
55,7949
55,79
55,79
55,7435
55,7607
55,8484
55,8763
55,8713
55,8296
55,8296
55,8296
55,8296
55,8296
55,8296
55,8296
55,8296
55,8296
55,8268
55,8306
55,8314
55,8323
55,8281
55,9063
55,9271
55,8859
55,8859
55,8859
55,9247
55,9355
55,9122
55,9117
55,9089
55,9098
55,9109
55,8873
